,state,county,cousub,county name,state initials,rent50_0_2018,rent50_0_2019,rent50_1_2018,rent50_1_2019,rent50_2_2018,rent50_2_2019,rent50_3_2018,rent50_3_2019,rent50_4_2018,rent50_4_2019,pop2010_2018,pop2010_2019,hu2010_2018,hu2010_2019
3855,48,57,99999,Calhoun County,TX,669,656.0,739,736.0,885,873.0,1110,1094.0,1546,1533.0,21381.0,21381.0,11410.0,11410.0
3856,48,59,99999,Callahan County,TX,599,642.0,642,667.0,854,882.0,1080,1142.0,1405,1467.0,13544.0,13544.0,6549.0,6549.0
3857,48,61,99999,Cameron County,TX,561,600.0,564,603.0,722,770.0,968,1034.0,1119,1183.0,406220.0,406220.0,141924.0,141924.0
3858,48,63,99999,Camp County,TX,532,561.0,643,652.0,738,747.0,1071,1078.0,1154,1151.0,12401.0,12401.0,5656.0,5656.0
3859,48,65,99999,Carson County,TX,554,594.0,665,702.0,869,912.0,1154,1233.0,1327,1389.0,6182.0,6182.0,2784.0,2784.0
3860,48,67,99999,Cass County,TX,445,450.0,524,529.0,697,700.0,978,1012.0,1220,1230.0,30464.0,30464.0,14379.0,14379.0
3861,48,69,99999,Castro County,TX,593,570.0,634,616.0,785,759.0,984,951.0,1228,1169.0,8062.0,8062.0,3166.0,3166.0
3862,48,71,99999,Chambers County,TX,830,874.0,936,976.0,1146,1188.0,1565,1624.0,1982,2041.0,35096.0,35096.0,13291.0,13291.0
3863,48,73,99999,Cherokee County,TX,589,572.0,593,575.0,789,761.0,1009,994.0,1114,1071.0,50845.0,50845.0,20859.0,20859.0
3864,48,75,99999,Childress County,TX,591,603.0,681,638.0,782,802.0,1137,1160.0,1223,1236.0,7041.0,7041.0,2883.0,2883.0
3865,48,77,99999,Clay County,TX,543,521.0,659,629.0,851,811.0,1185,1123.0,1499,1424.0,10752.0,10752.0,5150.0,5150.0
3866,48,79,99999,Cochran County,TX,521,526.0,525,536.0,697,700.0,978,877.0,1090,1079.0,3127.0,3127.0,1360.0,1360.0
