,state,county name,County seat,state initial,studio_2021,bedroom_1_2021,bedroom_2_2021,bedroom_3_2021,bedroom_4_2021,lat,lng,coordinates,Distance (miles)
0,13,Baker County,Newton,GA,668.0,690.0,814.0,1054.0,1215.0,31.3129575,-84.3357424,"(31.3129575, -84.3357424)",205
1,13,Dougherty County,Albany,GA,668.0,690.0,814.0,1054.0,1215.0,31.5785074,-84.15574099999999,"(31.5785074, -84.15574099999999)",182
2,13,Lee County,Leesburg,GA,668.0,690.0,814.0,1054.0,1215.0,31.7321156,-84.1707423,"(31.7321156, -84.1707423)",176
3,13,Terrell County,Dawson,GA,668.0,690.0,814.0,1054.0,1215.0,31.7735001,-84.4465826,"(31.7735001, -84.4465826)",167
4,13,Worth County,Sylvester,GA,668.0,690.0,814.0,1054.0,1215.0,31.5307349,-83.8354542,"(31.5307349, -83.8354542)",172
5,13,Clarke County,Athens,GA,710.0,749.0,873.0,1183.0,1373.0,33.9519347,-83.357567,"(33.9519347, -83.357567)",72
6,13,Madison County,Danielsville,GA,710.0,749.0,873.0,1183.0,1373.0,34.1242771,-83.2212629,"(34.1242771, -83.2212629)",87
7,13,Oconee County,Watkinsville,GA,710.0,749.0,873.0,1183.0,1373.0,33.8628959,-83.4087708,"(33.8628959, -83.4087708)",69
8,13,Oglethorpe County,Lexington,GA,710.0,749.0,873.0,1183.0,1373.0,33.8698404,-83.111817,"(33.8698404, -83.111817)",88
9,13,Barrow County,Winder,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.9926097,-83.7201709,"(33.9926097, -83.7201709)",50
10,13,Bartow County,Cartersville,GA,1101.0,1126.0,1284.0,1615.0,1976.0,34.1650972,-84.7999382,"(34.1650972, -84.7999382)",43
11,13,Carroll County,Carrollton,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.5801103,-85.0766113,"(33.5801103, -85.0766113)",50
12,13,Cherokee County,Canton,GA,1101.0,1126.0,1284.0,1615.0,1976.0,34.2367621,-84.4907621,"(34.2367621, -84.4907621)",41
13,13,Clayton County,Jonesboro,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.5215013,-84.3538128,"(33.5215013, -84.3538128)",17
14,13,Cobb County,Marietta,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.95260200000001,-84.5499327,"(33.95260200000001, -84.5499327)",20
15,13,Coweta County,Newnan,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.3806716,-84.79965729999999,"(33.3806716, -84.79965729999999)",38
16,13,Dawson County,Dawsonville,GA,1101.0,1126.0,1284.0,1615.0,1976.0,34.4212052,-84.1190804,"(34.4212052, -84.1190804)",57
17,13,DeKalb County,Decatur,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.7748275,-84.2963123,"(33.7748275, -84.2963123)",6
18,13,Douglas County,Douglasville,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.7514966,-84.7477136,"(33.7514966, -84.7477136)",23
19,13,Fayette County,Fayetteville,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.4486296,-84.4550443,"(33.4486296, -84.4550443)",22
20,13,Forsyth County,Cumming,GA,1101.0,1126.0,1284.0,1615.0,1976.0,34.2073196,-84.14019259999999,"(34.2073196, -84.14019259999999)",39
21,13,Fulton County,Atlanta,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.7489954,-84.3879824,"(33.7489954, -84.3879824)",0
22,13,Gwinnett County,Lawrenceville,GA,1101.0,1126.0,1284.0,1615.0,1976.0,33.9562149,-83.9879625,"(33.9562149, -83.9879625)",32
